"Google Germany, Sprache der Benutzeroberfläche: Deutsch"
Keyword,URL,"Content Score",Suchvolumen,"Website SERP Features","Gefundene SERP Features",Klicks,2026-02-21,Dynamiken,URL,2026-02-22,Dynamiken,URL
"Keyword,Kategorie,Suchvolumen-Schätzung,Priorität",,-,0,,"Bewertungen, Video, Ähnliche Fragen (People Also Ask), AI Overview","Keine Daten in GSC",-,0,,-,0,
"Ferienwohnung Ammersee,Lokal - Hauptkeyword,Hoch,1",,-,0,"AI Overview","Bewertungen, AI Overview","Keine Daten in GSC",-,0,,-,0,
"Pension Herrsching,Lokal - Hauptkeyword,Mittel,1",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), AI Overview","Keine Daten in GSC",17,0,https://www.sonnenhof-herrsching.de/blog/pension-am-ammersee,22,-5,https://www.sonnenhof-herrsching.de/blog/pension-am-ammersee
"Ferienwohnung Herrsching,Lokal - Hauptkeyword,Mittel,1",,-,0,,"Lokales Paket, Bewertungen, Ähnliche Fragen (People Also Ask), Ergebnisse finden für","Keine Daten in GSC",-,0,https://www.sonnenhof-herrsching.de/,20,80,https://www.sonnenhof-herrsching.de/blog/unterkunft-herrsching-ammersee
"Unterkunft Ammersee,Lokal - Hauptkeyword,Mittel,1",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Übernachtung Ammersee,Lokal - Hauptkeyword,Mittel,1",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Zimmer Herrsching,Lokal - Hauptkeyword,Niedrig,2",,71,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), AI Overview","Keine Daten in GSC",14,0,https://www.sonnenhof-herrsching.de/blog/unterkunft-herrsching-ammersee,-,0,https://www.sonnenhof-herrsching.de/blog/unterkunft-herrsching-ammersee
"Ferienwohnung München Umgebung,München-Fokus,Hoch,1",,-,0,,"Lokales Paket, Bewertungen, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Unterkunft nähe München,München-Fokus,Hoch,1",,-,0,,"Bewertungen, Video, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Pension München Umgebung,München-Fokus,Mittel,1",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Übernachtung München Umland,München-Fokus,Mittel,1",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Ferienwohnung Starnberger See,Region,Hoch,1",,-,0,,"Lokales Paket, Bewertungen, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Unterkunft Fünfseenland,Region,Mittel,2",,38,0,,"Lokales Paket, Bewertungen, Video, Bilder, Ergebnisse finden für","Keine Daten in GSC",33,0,https://www.sonnenhof-herrsching.de/blog/unterkunft-herrsching-ammersee,31,2,https://www.sonnenhof-herrsching.de/blog/unterkunft-herrsching-ammersee
"Pension Fünfseenland,Region,Niedrig,2",,-,0,,"Bewertungen, AI Overview","Keine Daten in GSC",-,0,,-,0,
"Ferienwohnung Ammersee mit Hund,Nische - Hund,Mittel,1",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), AI Overview","Keine Daten in GSC",-,0,,-,0,
"Hundefreundliche Unterkunft Ammersee,Nische - Hund,Niedrig,1",,-,0,,"Bewertungen, AI Overview","Keine Daten in GSC",-,0,,-,0,
"Pension Ammersee Hund erlaubt,Nische - Hund,Niedrig,2",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask)","Keine Daten in GSC",24,0,https://www.sonnenhof-herrsching.de/,21,3,https://www.sonnenhof-herrsching.de/
"Ferienwohnung Ammersee Familie,Nische - Familie,Mittel,1",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, AI Overview","Keine Daten in GSC",-,0,,-,0,
"Familienurlaub Ammersee Unterkunft,Nische - Familie,Niedrig,2",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder","Keine Daten in GSC",-,0,,-,0,
"Ferienwohnung Ammersee Kinder,Nische - Familie,Niedrig,2",,-,0,,"Bewertungen, Bilder, AI Overview","Keine Daten in GSC",-,0,,-,0,
