"Google Germany (Starnberg, Bavaria, Germany), Sprache der Benutzeroberfläche: Deutsch"
Keyword,URL,"Content Score",Suchvolumen,"Website SERP Features","Gefundene SERP Features",Klicks,2026-02-24,Dynamiken,URL,2026-02-25,Dynamiken,URL
"Sonnenhof Herrsching",,-,110,"Bewertungen, Sitelinks, Bilder, GBP","Bewertungen, Sitelinks, Ähnliche Fragen (People Also Ask), Bilder, GBP",15,1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"Sonnenhof Ammersee",,-,20,"Bewertungen, Bilder, GBP","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, GBP","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"ferienwohnung sonnenhof herrsching,10",,-,0,"Bewertungen, Bilder, GBP, AI Overview","Bewertungen, Bilder, Bottom-Anzeigen, GBP, AI Overview","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"sonnenhof herrsching,110",,-,0,"Bewertungen, Bilder, GBP","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, GBP","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"sonnenhof herrsching am ammersee,10",,-,0,"Bewertungen, Bilder, GBP","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, GBP","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"ammersee hotel sonnenhof,20",,-,0,"Bewertungen, Bilder, GBP","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, GBP","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"ferienwohnung sonnenhof,170",,-,0,"Lokales Paket","Lokales Paket, Bewertungen, Video, Bilder, Ergebnisse finden für","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"pension herrsching,90",,-,0,,"Bewertungen, Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"Pension Herrsching",,-,90,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bottom-Anzeigen, Hotel-Paket, Ergebnisse finden für",0,2,0,https://www.sonnenhof-herrsching.de/,2,0,https://www.sonnenhof-herrsching.de/
"ammersee zimmer,90",,-,0,"AI Overview","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, AI Overview","Keine Daten in GSC",45,0,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland,2,43,https://www.sonnenhof-herrsching.de/blog/ferienwohnung-fuenfseenland
